Nombre del comprador,Orden de Compra,Nombre de proyecto,Bonos Comprados,Numero serial ,Status,Descripcion de la compensacion 
ECOPETROL,123,Parque Eólico Costa Azul,200,EPEC01000000001 al EPEC01000000200,Selling,Compensación por energía renovable mediante parque eólico
GREEN POWER INC.,456,Solariza África,150,ESOA01000000001 al ESOA01000000150,Under Verification,Compensación por generación de energía solar en regiones rurales de África
BIO EARTH SOLUTIONS,789,Agroforestería Sustentable Andina,100,RASA01000000001 al RASA01000000100,Selling,Compensación a través de prácticas de agroforestería para captura de carbono
CONSERVA NATURA,1011,Conservación de Manglares IndoPacífico,250,RCMI01000000001 al RCMI01000000250,Reserved,Proyecto de conservación y restauración de manglares
URBAN GREEN,1213,Gestión Sostenible de Residuos VerdeMetropolis,180,WGRV01000000001 al WGRV01000000180,Pre-Registration,Conversión de residuos urbanos en energía y compost
GREEN POWER INC.,1555,Parque Eólico Costa Azul,200,EPEC01000000001 al EPEC01000000200,Pre-Registration,Compensación por energía renovable mediante parque eólico
,,Proyecto de Reforestación Amazónica,200,RPRA01000000001 al RPRA01000000200,Sold,
,,Proyecto de Reforestación Amazónica,400,RPRA010000400 al RPRA010000400,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
,,,,NOT SERIAL ASIGNED,,
